description,category,disposal_instruction,common_confusion,material_composition
folded massive black Natural glass bottle,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
dry metal lid,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
intact orange Local fruit peel,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
regular-sized patterned synthetic vacuum cleaner bag,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
clean spotted pen,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
torn metal lid,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
wrinkled massive patterned envelope,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
ripped massive brown Supermarket plastic cutlery,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
stained striped avocado pit,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
wrinkled medium greeting card,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
torn massive multi-colored cardboard Brand A styrofoam,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
used small yellow Homemade takeout container,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
damaged mini striped newspaper,Paper,Ensure it is clean and dry before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
wet oversized Bulk glass vase,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
new large silver vacuum dust,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
stained purple Imported egg shells,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
folded pink paper plate,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
wrinkled blue glass sheet partially filled,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
intact travel-sized black newspaper,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
ripped cardboard tray leaking,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
wrinkled yellow flower petals,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
folded regular-sized brown Bulk shampoo bottle,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
dry medium striped bamboo Local pen,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
clean regular-sized black branches,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
partial fun-sized orange Brand A soda can,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
new oversized purple grass clippings,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
partial tiny silver window glass,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
gold Local aerosol can,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
folded mini striped leaves,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
industrial blue Local corn cob,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
industrial brown chicken bones empty,Food Organics,Place in organic waste or compost bin.,,Biodegradable matter derived from plant or animal sources.
